SCHOOL,STATE,CITY,NOC,PROGRAM,TYPE,DEPARTMENT,DELIVERY,DURATION,PREREQ,LINK,LOC_LAT,LOC_LONG,WORLD_RANK,COUNTRY,TEACHING,INTERNATIONAL,RESEARCH,CITATIONS,INCOME,TOTAL_SCORE,NUM_STUDENTS,STUDENT_STAFF_RATIO,INTERNATIONAL_STUDENTS,F_M_RATIO,YEAR,timesData
California State University-East Bay,California,Hayward,1,Master of Science in Business Administration: Business Analytics Option,M,College of Business and Economics,Campus,45-53 units,computer science,http://www20.csueastbay.edu/cbe/msba/index.html,37.6571,-122.058,,,,,,,,,,,,,,0
California State University-Fullerton,California,Fullerton,3,Master of Science in Information Systems and Decision Sciences,M,Mihaylo College of Business and Economics,Campus,18 months/30 hours,Not Available,http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science,33.8836,-117.885,,,,,,,,,,,,,,0
California State University-Long Beach,California,Long Beach,1,Master of Science in Applied Statistics,M,Department of Mathematics and Statistics,Campus,30 units,"math, statistics",http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html,33.7828,-118.112,,,,,,,,,,,,,,0
California State University-San Bernardino,California,San Bernardino,1,Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus,M,College of Business and Public Administration,Campus,60 units,Not Available,http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/,34.183,-117.323,,,,,,,,,,,,,,0
Chapman University,California,Orange,3,Doctorate in Computational and Data Sciences,M,Schmid College of Science & Technology,Campus,70 Credit Hours,"math,statistics,computer science",http://www.chapman.edu/scst/graduate/phd-computational-science.aspx,33.7937,-117.851,,,,,,,,,,,,,,0
Chapman University,California,Orange,3,Doctorate in Computational and Data Sciences,M,Schmid College of Science & Technology,Campus,70 - 73 Credits,"math,statistics",http://www.chapman.edu/scst/graduate/phd-computational-science.aspx,33.7937,-117.851,,,,,,,,,,,,,,0
Chapman University,California,Orange,3,Master of Science in Computational and Data Sciences,M,Schmid College of Science & Technology,Campus,31-34 credits,"math, statistics",http://www.chapman.edu/scst/graduate/phd-computational-science.aspx,33.7937,-117.851,,,,,,,,,,,,,,0
Claremont Graduate University,California,Claremont,1,Masters of Science in Information Systems & Technology: Concentration in Data Science & Analytics,M,Center for Information Systems and Technology (CISAT),Campus,36 units,Not Available,http://www.cgu.edu/pages/6650.asp,34.1038,-117.712,,,,,,,,,,,,,,0
National University,California,La Jolla,2,Master of Science in Data Analytics,M,"School of Engineering, Technology and Media",Campus,54 units,Not Available,http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html,32.9095,-117.244,,,,,,,,,,,,,,0
National University,California,La Jolla,2,Master of Science in Health and Life Science Analytics,M,School of Health and Human Services,Campus,58.5 units,Not Available,http://www.nu.edu/Admissions/Graduate/AdmissionsChecklist.html,32.9095,-117.244,,,,,,,,,,,,,,0
